test_score,train_score,weights
0.837712206952304,0.995553459543219,"[1.5, 0.5, 1.25]"
0.8373080032336297,0.987738327831301,"[1.5, 0.5, 1.5]"
0.8399353274050121,1.0,"[1.5, 0.75, 0.5]"
0.8401374292643492,1.0,"[1.5, 0.75, 0.75]"
0.8393290218270008,1.0,"[1.5, 0.75, 1.0]"
0.8387227162489895,0.9999326281748973,"[1.5, 0.75, 1.25]"
0.8383185125303153,0.9970356396954794,"[1.5, 0.75, 1.5]"
0.8375101050929669,1.0,"[1.5, 1.0, 0.5]"
0.8393290218270008,1.0,"[1.5, 1.0, 0.75]"
0.8383185125303153,1.0,"[1.5, 1.0, 1.0]"
0.8389248181083266,1.0,"[1.5, 1.0, 1.25]"
0.8383185125303153,0.9999326281748973,"[1.5, 1.0, 1.5]"
0.8393290218270008,1.0,"[1.5, 1.25, 0.5]"
0.8385206143896524,1.0,"[1.5, 1.25, 0.75]"
0.8385206143896524,1.0,"[1.5, 1.25, 1.0]"
0.8373080032336297,1.0,"[1.5, 1.25, 1.25]"
0.837712206952304,1.0,"[1.5, 1.25, 1.5]"
0.8403395311236863,1.0,"[1.5, 1.5, 0.5]"
0.8395311236863379,1.0,"[1.5, 1.5, 0.75]"
0.8385206143896524,1.0,"[1.5, 1.5, 1.0]"
0.837712206952304,1.0,"[1.5, 1.5, 1.25]"
